Timestamp | Master Vent | Local Control | Heat Constant | Heat Coefficients | Self Heat Coefficient Index
2023-04-27T13:42:14.660576 | False | False | 1 | "[1, 0, 0]" | 0
2023-04-27T13:48:58.873714 | False | False | 1.453125 | "[0.7887094149025538, 0.30322571894601236, 0.44516155283938175]" | 0
2023-04-27T14:03:51.799584 | False | False | 1.65234375 | "[0.6766384441556388, 0.5423127907978662, 0.2742968119773494]" | 0
2023-04-27T14:04:02.039207 | False | False | 1.8017578125 | "[0.6869911340991139, 0.6955149750428441, 0.04962504800740228]" | 0
