Timestamp | Master Vent | Local Control | Heat Constant | Heat Coefficients | Self Heat Coefficient Index
2023-04-19T13:10:29.261978 | True | True | 1 | "[0, 1, 0]" | 1
2023-04-19T13:13:30.477262 | True | True | 2.015625 | "[0.0, 1.0, 0.0]" | 1
2023-04-19T13:14:36.628318 | True | True | 2.5523433685302734 | "[0.0, 1.0, 0.0]" | 1
2023-04-19T13:15:42.774659 | True | True | 2.7298836708068848 | "[0.0, 1.0, 0.0]" | 1
2023-04-19T13:16:49.650148 | True | True | 2.638036608695984 | "[0.0, 1.0, 0.0]" | 1
2023-04-19T13:17:55.284440 | True | True | 2.3722786009311676 | "[0.0, 1.0, 0.0]" | 1
