Timestamp | Master Vent | Local Control | Heat Constant | Heat Coefficients | Self Heat Coefficient Index
2023-04-19T16:28:14.656665 | True | False | 1 | "[0, 1, 0]" | 1
2023-04-19T16:34:38.904020 | True | False | 1.734375 | "[0.04682471789875803, 0.9896618419032327, 0.24324324324324326]" | 1
